Date,AAPL,AMZN,GOOG,MSFT
2013-12-31,71.95076751708984,398.7900085449219,558.2625122070312,32.6009521484375
2014-01-02,70.93883514404297,397.9700012207031,554.481689453125,32.38310241699219
2014-01-03,69.380615234375,396.44000244140625,550.4368286132812,32.16522979736328
2014-01-06,69.75896453857422,393.6300048828125,556.5738525390625,31.485502243041992
2014-01-07,69.26005554199219,398.0299987792969,567.3035888671875,31.72951316833496
2014-01-08,69.69869232177734,401.9200134277344,568.4841918945312,31.163066864013672
2014-01-09,68.80863189697266,401.010009765625,563.0097045898438,30.962631225585938
2014-01-10,68.3494644165039,397.6600036621094,562.9797973632812,31.407072067260742
2014-01-13,68.7072982788086,390.9800109863281,559.3932495117188,30.483333587646484
2014-01-14,70.0744400024414,397.5400085449219,572.553955078125,31.18050193786621
2014-01-15,71.48136138916016,395.8699951171875,572.1654052734375,32.03451156616211
2014-01-16,71.0824966430664,395.79998779296875,575.951171875,32.14781188964844
2014-01-17,69.34085083007812,399.6099853515625,573.1168212890625,31.70338249206543
2014-01-21,70.41816711425781,407.04998779296875,579.67724609375,31.520362854003906
2014-01-22,70.7310791015625,404.5400085449219,580.3347778320312,31.311216354370117
2014-01-23,71.33001708984375,399.8699951171875,577.8839721679688,31.424509048461914
2014-01-24,70.0334243774414,387.6000061035156,559.816650390625,32.07809066772461
2014-01-27,70.6015625,386.2799987792969,548.558837890625,31.398366928100586
2014-01-28,64.95856475830078,394.42999267578125,559.408203125,31.607511520385742
2014-01-29,64.22112274169922,384.20001220703125,551.3932495117188,31.9473819732666
2014-01-30,64.09672546386719,403.010009765625,565.5750732421875,32.121665954589844
2014-01-31,64.20189666748047,358.69000244140625,588.2799682617188,32.975685119628906
2014-02-03,64.32115173339844,346.1499938964844,564.5987548828125,31.790523529052734
2014-02-04,65.25224304199219,347.95001220703125,566.9548950195312,31.67723274230957
2014-02-05,65.73960876464844,346.45001220703125,569.4655151367188,31.215354919433594
2014-02-06,66.12277221679688,354.5899963378906,577.814208984375,31.529067993164062
2014-02-07,67.0478515625,361.0799865722656,586.5215454101562,31.8602352142334
2014-02-10,68.24897766113281,360.8699951171875,584.2749633789062,32.06938934326172
2014-02-11,69.14823150634766,361.7900085449219,592.8677978515625,32.391815185546875
2014-02-12,69.1430892944336,349.25,591.1292724609375,32.65325164794922
2014-02-13,70.24100494384766,357.20001220703125,597.7096557617188,32.7752571105957
2014-02-14,70.18425750732422,357.3500061035156,599.1542358398438,32.78396224975586
2014-02-18,70.44229125976562,353.6499938964844,603.1791381835938,32.85420608520508
2014-02-19,69.33016204833984,347.3800048828125,598.9251098632812,32.9332275390625
2014-02-20,68.52767944335938,349.79998779296875,599.8067626953125,33.14394760131836
2014-02-21,67.76646423339844,346.760009765625,599.6473999023438,33.34587478637695
2014-02-24,68.06318664550781,351.7799987792969,603.9910888671875,33.09126663208008
2014-02-25,67.35491180419922,358.32000732421875,607.7221069335938,32.95956802368164
2014-02-26,66.74723815917969,359.79998779296875,607.8067626953125,32.898109436035156
2014-02-27,68.07868194580078,360.1300048828125,607.32861328125,33.24052429199219
2014-02-28,67.8941879272461,362.1000061035156,605.5552368164062,33.63561248779297
2014-03-03,68.09028625488281,359.7799987792969,599.0994262695312,33.1702766418457
2014-03-04,68.5392837524414,363.8999938964844,605.1865844726562,33.72341537475586
2014-03-05,68.68376922607422,372.3699951171875,606.8553466796875,33.46001434326172
2014-03-06,68.4760513305664,372.1600036621094,607.52783203125,33.49513626098633
2014-03-07,68.4360580444336,372.05999755859375,605.1268310546875,33.2756462097168
2014-03-10,68.49798583984375,370.5299987792969,603.5228271484375,33.20539855957031
2014-03-11,69.16500091552734,368.82000732421875,597.7544555664062,33.38099670410156
2014-03-12,69.23209381103516,370.6400146484375,601.3958129882812,33.60049057006836
2014-03-13,68.46315002441406,371.510009765625,592.3098754882812,33.2668571472168
2014-03-14,67.6942138671875,373.739990234375,584.2102661132812,33.10004806518555
2014-03-17,67.95870971679688,375.0400085449219,593.82421875,33.40732955932617
2014-03-18,68.5599136352539,378.7699890136719,603.368408203125,34.72431564331055
2014-03-19,68.5418701171875,373.2300109863281,597.3858642578125,34.47847366333008
2014-03-20,68.2115707397461,368.9700012207031,596.3447265625,35.40914535522461
2014-03-21,68.74954986572266,360.6199951171875,589.3110961914062,35.259883880615234
2014-03-24,69.56495666503906,351.8500061035156,576.802978515625,35.55839538574219
2014-03-25,70.31326293945312,354.7099914550781,577.196533203125,35.41791534423828
2014-03-26,69.64107513427734,343.4100036621094,563.8714599609375,34.93503189086914
2014-03-27,69.34176635742188,338.4700012207031,556.9309692382812,34.557498931884766
